D99_index,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
0229_LEFT_cdc,0.038778164,0.003782755,0.001030029,0.028485152,0.016292291,0.066517106,0.024876857,0.014575333,0.009051141,0.009919797,0.004836689,0.029474216,0.008356554,0.018621223,0.015131835,0.008390032,0.004831207,0.091847912,0.012080918,0.240751486,0.088171503,0.060968638,0.024791082,0.016883874,0.003929876,0.005336049,0.009164201,0.004256806,0.055126694,0.019081122,0.002160521,0.00175909,0.010396336,0.004593923,0.004125287,0.002822165,0.025380088,0.017745087,0.012004655,0.00569071,0.008749546,0.003869325
0230_LEFT_AN,0.012114763,0.002763254,0.001426467,0.035006919,0.023272209,0.020150243,0.014245395,0.01452748,0.01931146,0.004083145,0.004017907,0.006064586,0.004894247,0.102375727,0.059584116,0.006162293,0.005824864,0.028542982,0.008635165,0.034404437,0.026526176,0.024039977,0.02245981,0.005888562,0.002877751,0.396247998,0.005732471,0.003772725,0.014823197,0.0109877,0.003445877,0.001867503,0.011037205,0.004587015,0.003793003,0.002877115,0.021985056,0.011933191,0.004568543,0.004732147,0.00675012,0.005734552
0302_LEFT_CE,0.052930474,0.004366333,0.001142943,0.039243409,0.006991857,0.032141746,0.009655237,0.013253814,0.006360766,0.009472457,0.005081369,0.059568761,0.005495022,0.032483159,0.007087526,0.006025334,0.003815478,0.04490419,0.010147012,0.290121833,0.036934224,0.1126995,0.014474031,0.031432093,0.002550691,0.005927527,0.016800569,0.002875255,0.10006978,0.007893311,0.001588103,0.001018416,0.012941102,0.003598511,0.00473681,0.002265971,0.013481539,0.004674192,0.014301308,0.003787651,0.018599186,0.002165041
0307_LEFT_Ld,0.032388694,0.004437624,0.000848132,0.044214308,0.006464745,0.023317405,0.005413363,0.014653618,0.00552514,0.009192636,0.00319754,0.127088355,0.003159361,0.038215029,0.006202518,0.005902323,0.002663177,0.040914592,0.007695805,0.253789584,0.02183191,0.106063322,0.010171795,0.043273125,0.001729282,0.009828754,0.020562013,0.002408146,0.075017516,0.006234527,0.001533126,0.000864815,0.009353286,0.002610703,0.005613122,0.001663415,0.011481675,0.003523155,0.050667523,0.002471977,0.015823781,0.001790732
0311_LEFT_AAA,0.062830405,0.005769828,0.000989575,0.043098402,0.006379916,0.027311834,0.007252255,0.011826635,0.005822403,0.010343832,0.004360599,0.058400259,0.003174711,0.032193952,0.006497114,0.007642506,0.004376818,0.042216375,0.009705902,0.209257447,0.026547806,0.119271649,0.012124441,0.040088356,0.002109362,0.007023528,0.039147253,0.00278665,0.074742193,0.006033544,0.001566174,0.000752238,0.011450338,0.002995614,0.008244406,0.001962288,0.01112578,0.003690271,0.078001909,0.002862367,0.018605453,0.00205808
0319_LEFT_Lv,0.03350685,0.004876737,0.000872653,0.036145099,0.005571014,0.023453659,0.005182291,0.018914143,0.006186502,0.012836405,0.003505664,0.148717995,0.003262634,0.035090995,0.005562324,0.006667572,0.002744525,0.039186377,0.009595127,0.227801491,0.020332954,0.109902878,0.010506556,0.043293629,0.001748747,0.00989969,0.023711012,0.002237461,0.06031299,0.006039034,0.001518021,0.000976046,0.009382971,0.002631227,0.008045183,0.001623563,0.010047507,0.003231259,0.065902117,0.002448697,0.012873537,0.001871712
0324_LEFT_COa,0.026178552,0.004179824,0.000579802,0.02971652,0.004145955,0.015726686,0.004515707,0.008254289,0.003673893,0.005189642,0.001972089,0.027940824,0.001889306,0.029650046,0.004914499,0.008889426,0.001936365,0.021985406,0.005384241,0.103773165,0.016787122,0.085009652,0.006552121,0.019176977,0.001082026,0.00567466,0.026767864,0.001564197,0.044977177,0.003939281,0.001454889,0.000725616,0.008578345,0.001926133,0.011218321,0.001323415,0.009028581,0.002610782,0.077177018,0.001573859,0.010608544,0.001152099
0331_LEFT_ABmc,0.027766045,0.005415237,0.000735865,0.039967044,0.005590294,0.019258282,0.004349776,0.015477144,0.005318265,0.01005814,0.003292932,0.126593055,0.002711191,0.05898727,0.00533481,0.007862615,0.002415827,0.035266718,0.008601214,0.197447428,0.019059591,0.120838743,0.00906758,0.041291909,0.001504459,0.011944157,0.031913108,0.002117255,0.061907684,0.006413204,0.001788517,0.000813589,0.011130653,0.002293373,0.00943797,0.001438585,0.010650853,0.002872883,0.078350115,0.002096,0.016042959,0.001713553
0340_LEFT_Bi,0.031468558,0.005730649,0.000860614,0.038878792,0.005926859,0.023567609,0.005224067,0.018060167,0.005914299,0.014540824,0.003981147,0.140773127,0.00301128,0.038886606,0.005741489,0.006563228,0.002470492,0.040988981,0.010286033,0.200844263,0.021278419,0.124832894,0.010163282,0.038821281,0.001664029,0.009420173,0.026427522,0.002278187,0.066310592,0.006116379,0.001671469,0.00092917,0.010927385,0.002637021,0.008989425,0.001635061,0.010427913,0.00339297,0.058100632,0.002422495,0.016280723,0.0018268
0346_LEFT_COp,0.021527312,0.004285997,0.000468082,0.032147289,0.003321827,0.01421678,0.003512213,0.011245635,0.003842533,0.008651581,0.002572059,0.096069918,0.001810681,0.059603399,0.004080051,0.006205791,0.001619224,0.022493563,0.006620544,0.140336639,0.012545354,0.09930924,0.006033549,0.032671754,0.001016811,0.010045371,0.024310858,0.001239726,0.051821452,0.003361815,0.001221359,0.000680008,0.007321273,0.001699523,0.007796003,0.00097879,0.007671307,0.002335121,0.055501628,0.001376477,0.012326555,0.000974494
