Index-HCPex,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
382_L_Putam,0.058225956,0.031431563,0.001049976,0.018575478,0.001409914,0.136195405,0.006509589,0.0312887,0.005365243,0.006939332,0.002410085,0.002925013,0.000404205,0.070835953,0.004482348,0.026536024,0.002235965,0.007880823,0.044969521,0.022748464,0.002838447,0.198267981,0.006920305,0.007644882,0.000785669,0.003463281,0.024716813,0.001846467,0.030820024,0.002775083,0.045486098,0.006334194,0.026748752,0.001906086,0.008540409,0.001186088,0.052772382,0.005283092,0.094521076,0.002390546,0.003490146,0.000294334
383_L_Caud,0.035330713,0.013624419,0.0011808,0.012401627,0.001508967,0.224993746,0.008468271,0.039933453,0.005176903,0.0108964,0.002648548,0.009843734,0.000451839,0.03917919,0.003129283,0.014535116,0.002519402,0.007069861,0.0811824,0.11142947,0.003351992,0.129498881,0.007915666,0.010572187,0.000723085,0.003606883,0.014719707,0.001959244,0.028819513,0.002549238,0.020539368,0.004883359,0.011403172,0.001766252,0.006827377,0.001310813,0.032934497,0.002659089,0.08505164,0.004793386,0.002016184,0.000231225
384_L_NAc,0.138184555,0.016405491,0.000685351,0.009429508,0.001279631,0.029815027,0.004180235,0.110719763,0.011001754,0.057874112,0.007193629,0.007671685,0.000730906,0.006476388,0.001287992,0.001772444,0.00035506,0.01296411,0.029017457,0.121714544,0.009628221,0.142855799,0.009265691,0.02375753,0.001324,0.000591777,0.020025105,0.001932911,0.03323861,0.003145545,0.005103668,0.001721938,0.003328907,0.000600832,0.001931756,0.000426014,0.00427076,0.000828953,0.161572469,0.010421795,0.004150817,0.000348742
385_L_Gpe,0.092331266,0.027094931,0.00099788,0.020189795,0.001996053,0.186734772,0.006905762,0.0264717,0.004203657,0.004200399,0.001873875,0.003269325,0.000514264,0.083874105,0.005962912,0.040589423,0.002204524,0.007258615,0.040793713,0.022254479,0.002667742,0.121662047,0.007054523,0.006230506,0.000968274,0.01539739,0.021022129,0.002032215,0.02725779,0.003633688,0.041420778,0.003772103,0.024712226,0.001284224,0.008046648,0.001041054,0.041335489,0.002839313,0.060957786,0.00177667,0.002806114,0.000348391
386_L_Gpi,0.094957287,0.019138952,0.001267139,0.047035383,0.006740774,0.128510488,0.006086337,0.013999367,0.002929459,0.002017434,0.000946028,0.004663325,0.000940773,0.162260145,0.016649615,0.019829441,0.001677082,0.012459428,0.0170556,0.024427505,0.003720846,0.066682474,0.004995052,0.005887796,0.000970595,0.056404608,0.034626925,0.002837194,0.05198573,0.00671209,0.039914445,0.004794349,0.021172049,0.001659662,0.005815536,0.000885479,0.047698834,0.004217937,0.031318926,0.001308768,0.005055175,0.000424782
387_L_Amyg,0.078753598,0.008017884,0.000645449,0.052115179,0.003186933,0.02838346,0.002567313,0.028984868,0.002543689,0.008117655,0.001125855,0.077434979,0.001483607,0.024842841,0.002855564,0.002375634,0.000415289,0.024806811,0.005950261,0.487342836,0.010518659,0.050334085,0.004426602,0.006471607,0.000744387,0.00682574,0.02873854,0.002150267,0.106814068,0.004416395,0.006586672,0.002354727,0.002332152,0.000650233,0.00136216,0.00039704,0.01428711,0.001401361,0.055245469,0.001814056,0.006096158,0.000452449
388_L_SNpc,0.048395059,0.0146699,0.000873477,0.048833705,0.003914851,0.123149003,0.005439514,0.012803479,0.002480487,0.00197476,0.000696128,0.005524557,0.000668412,0.216823211,0.010835924,0.014252713,0.001281667,0.013335537,0.015924515,0.037866651,0.002684005,0.062432218,0.003328455,0.004373216,0.000392069,0.087679504,0.033267363,0.002061513,0.060651895,0.003944978,0.039025026,0.004467575,0.017974407,0.001224415,0.00422528,0.000684543,0.040616778,0.004436809,0.026347458,0.000856315,0.005405194,0.000288045
389_L_SNpr,0.018440789,0.012431188,0.000934682,0.024983255,0.001914504,0.143810441,0.006210767,0.017168803,0.003319315,0.002602878,0.001262501,0.002664256,0.000351847,0.295569373,0.017082845,0.037362749,0.002393986,0.006510432,0.022631199,0.015438361,0.001443986,0.0536935,0.003528768,0.002600515,0.000274378,0.072217498,0.016932835,0.001377911,0.027192073,0.002237698,0.044237589,0.004016602,0.017304821,0.001463006,0.00455905,0.00093293,0.057773038,0.0035147,0.024016153,0.00097872,0.002401714,0.00017252
390_L_VTA,0.063026988,0.007719895,0.001731993,0.030875374,0.006451018,0.127520345,0.013121577,0.010877403,0.002109923,0.001007175,0.000510758,0.008954702,0.000945642,0.123513714,0.030639955,0.010924706,0.002070768,0.009397932,0.012453201,0.052427412,0.003795703,0.043574709,0.004179201,0.003455118,0.000324137,0.207500339,0.019922591,0.001894879,0.048394216,0.005625211,0.022830653,0.006935343,0.008598206,0.003095102,0.002144881,0.001363047,0.045023415,0.012535849,0.022099216,0.001258726,0.003664736,0.000373729
391_L_MB,0.044775395,0.002825805,0.001717485,0.010819926,0.009105748,0.151193771,0.088297297,0.005215583,0.003742621,0.00068458,0.000749423,0.003280255,0.002162602,0.056546212,0.03492946,0.00507808,0.001871253,0.007007937,0.006652265,0.044762427,0.027590959,0.012810169,0.006172211,0.001377975,0.000735039,0.193213252,0.005242207,0.003008685,0.01239425,0.009890872,0.013605562,0.006269031,0.004936162,0.002835307,0.001239611,0.000887101,0.07065101,0.029171325,0.007004493,0.001587435,0.000897921,0.000604959
392_L_Septum,0.116266157,0.009212961,0.001908428,0.009257378,0.002937252,0.010771335,0.011309052,0.098178648,0.049951954,0.076618817,0.036431493,0.010942915,0.002544603,0.008368728,0.00410923,0.001789579,0.000961863,0.030916389,0.044882141,0.193542757,0.049943124,0.058592557,0.022585601,0.012314532,0.003273469,0.000888352,0.014228758,0.004323219,0.026577277,0.007972845,0.006365253,0.00380789,0.004285752,0.001903454,0.002031141,0.001288288,0.005217873,0.00213394,0.064033539,0.025354631,0.003216341,0.000940818
393_L_Nb,0.185036626,0.015456553,0.001093449,0.032626092,0.003037887,0.026829629,0.005347756,0.044745608,0.008744535,0.020967844,0.005486307,0.017494469,0.001515087,0.016310961,0.003273518,0.002277084,0.000613324,0.025510825,0.017550992,0.19149103,0.023170761,0.100200629,0.011015863,0.021224785,0.00218904,0.003480062,0.032136146,0.00305213,0.073255879,0.005857186,0.00806275,0.002865939,0.004133031,0.001137187,0.002314818,0.000701664,0.010289293,0.00188887,0.087323199,0.007026774,0.006799468,0.000639835
394_R_AV,0.076970302,0.000892916,0.003643923,0.00396769,0.025437132,0.003937255,0.155735451,0.00215347,0.020674748,0.000807125,0.005679875,0.000900049,0.034845277,0.003490996,0.013007393,0.000529155,0.00124898,0.016994733,0.014616346,0.019452295,0.500181795,0.004348415,0.053543939,0.000629286,0.012662982,0.005191864,0.002321458,0.016189037,0.005439096,0.052785062,0.002409222,0.007994114,0.000673148,0.002056608,0.000263775,0.0012977,0.002112125,0.018102987,0.00177088,0.027702801,0.000375891,0.003076771
395_R_CeM,0.077374357,0.001481486,0.006010027,0.008580054,0.031012551,0.008421679,0.314649227,0.002896738,0.016091765,0.001034737,0.009363634,0.000768794,0.011805818,0.004892792,0.022833967,0.001325187,0.004328536,0.014427659,0.035827532,0.005105572,0.08406033,0.007492154,0.0903683,0.000801857,0.008658487,0.010726215,0.004644267,0.022096206,0.009795737,0.055103181,0.004046656,0.013923889,0.001182706,0.004542428,0.000498881,0.003048576,0.005920711,0.066793992,0.002891192,0.046098339,0.00085573,0.004458637
396_R_CL,0.056193724,0.000583816,0.003050961,0.002069202,0.023172593,0.004052163,0.237352449,0.001570303,0.014387259,0.001067267,0.006962723,0.000242052,0.031265315,0.002267751,0.010396084,0.000355532,0.000345183,0.013125626,0.011838837,0.006587093,0.509097615,0.002777108,0.046377507,0.000316669,0.01072057,0.003183251,0.001284748,0.013552281,0.002725574,0.043168359,0.001296868,0.005332965,0.000318919,0.001787068,0.000125519,0.001118749,0.001598845,0.022922739,0.000627339,0.0260523,0.000161693,0.00249606
