Index-HCPex,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
409_R_PuL,0.013670938,0.001491367,0.018785214,0.003943189,0.099419019,0.002988169,0.069912766,0.003566595,0.017927802,0.000746958,0.002548354,0.000539454,0.010481241,0.003495302,0.049262202,0.002991361,0.021081115,0.028699019,0.009629292,0.002349396,0.086656198,0.005571556,0.065780102,0.000890067,0.008332368,0.005097085,0.003294869,0.086931452,0.005712782,0.125365702,0.006198575,0.092406539,0.001674199,0.017910515,0.00066214,0.008760217,0.003414258,0.122726929,0.001609082,0.00995285,0.000631245,0.009132385
410_R_PuM,0.042745061,0.001212275,0.007735149,0.002568651,0.03568413,0.003577206,0.110163774,0.003529528,0.025065066,0.001283485,0.006409502,0.001576179,0.037422053,0.002092069,0.013327447,0.002024564,0.013203249,0.031956171,0.015715707,0.008668321,0.317380656,0.006313276,0.08979872,0.000990751,0.022772625,0.002777414,0.00247707,0.035441074,0.004558108,0.105566577,0.003207159,0.018027141,0.000946422,0.003994033,0.000432317,0.003003145,0.001970575,0.055820472,0.002020959,0.029603169,0.000543796,0.007596604
411_R_VA,0.033730787,0.001614776,0.005370628,0.005371316,0.021494907,0.009572878,0.384734196,0.006075056,0.039018132,0.002587158,0.013907481,0.000674107,0.010035512,0.00319213,0.0173546,0.002454269,0.009943202,0.01075666,0.053290562,0.003865348,0.087867138,0.009067942,0.095419493,0.000726544,0.00667988,0.006178221,0.0034153,0.016089023,0.006449786,0.039092924,0.003476786,0.015926597,0.001128809,0.003389485,0.000586746,0.006199208,0.00377882,0.044197272,0.003315379,0.033952209,0.000633793,0.003076555
412_R_VLa,0.017569238,0.001947589,0.010367207,0.005581167,0.02610446,0.008499926,0.268183922,0.006506798,0.035872932,0.002158895,0.009736756,0.000618192,0.008714724,0.004403231,0.052893489,0.006346999,0.049910645,0.011071905,0.035864133,0.003207552,0.068004903,0.008076909,0.061925433,0.000723464,0.006336017,0.009557019,0.003440027,0.018022229,0.006282739,0.042147753,0.005887488,0.045207546,0.002171743,0.010815183,0.000875902,0.0079811,0.005293125,0.128673328,0.00271922,0.017717132,0.000629128,0.003291508
413_R_VLp,0.016348703,0.001721366,0.014903694,0.004781403,0.026449915,0.006136792,0.179803107,0.004985328,0.024871681,0.00142054,0.006197421,0.000539804,0.007763681,0.004678022,0.072636234,0.005603086,0.03920538,0.011336212,0.023575778,0.002731367,0.063272695,0.006367583,0.051894672,0.00064071,0.006766132,0.010920335,0.003005165,0.020316101,0.005585769,0.044500184,0.006569856,0.063992045,0.002400367,0.019906517,0.000804996,0.008089653,0.005927194,0.222509919,0.002104793,0.014702868,0.000557903,0.003544656
414_R_VPL,0.010627917,0.001517234,0.025785705,0.005786927,0.101250746,0.003316069,0.046419837,0.002792671,0.01075117,0.000493833,0.001777209,0.000590318,0.004823659,0.008026914,0.208987887,0.001984907,0.011737327,0.01420485,0.006745037,0.00231305,0.021330511,0.005221435,0.037266287,0.000707522,0.0049657,0.0195471,0.003692845,0.04118246,0.006512397,0.062546801,0.00708493,0.12094955,0.001816475,0.035118486,0.000704546,0.009115157,0.004714176,0.151593635,0.001413848,0.007396842,0.000635896,0.00448394
415_R_Putam,0.041323515,0.001473244,0.041160234,0.001340299,0.018452936,0.005140305,0.133510793,0.005740718,0.031821062,0.00208365,0.013041987,0.00031152,0.002905506,0.004244149,0.068897713,0.003029361,0.022953216,0.009078637,0.048116076,0.002340126,0.015226553,0.006959671,0.206107543,0.000723995,0.008046099,0.002893642,0.001873322,0.026672329,0.00262508,0.030394627,0.007100171,0.046258037,0.002197721,0.02919524,0.000746728,0.019982475,0.005526331,0.050276053,0.003315709,0.081564443,0.000301607,0.003311832
416_R_Caud,0.033714069,0.001766347,0.007261761,0.002644023,0.020126173,0.007370969,0.267263873,0.006249878,0.032514182,0.002903315,0.017399131,0.00047104,0.008943103,0.004995666,0.071480759,0.002406212,0.00862621,0.009738107,0.080129045,0.005020525,0.099238761,0.008765185,0.088013682,0.00088457,0.007555809,0.00678624,0.002540843,0.01798176,0.003760033,0.034200243,0.00582724,0.03244197,0.001839561,0.007121755,0.000879921,0.007776073,0.003261307,0.050190125,0.005200477,0.050632877,0.000388546,0.002264405
417_R_NAc,0.124682399,0.001490697,0.006835762,0.001143938,0.013793713,0.002865333,0.047720693,0.013982341,0.1163335,0.014754075,0.073205534,0.000546544,0.010446106,0.001494671,0.010377104,0.000486209,0.001179224,0.013832192,0.038737651,0.008224192,0.09098204,0.010121911,0.132211711,0.001717791,0.022294947,0.000939372,0.001868805,0.018968199,0.002905511,0.035142404,0.001996175,0.007727462,0.000749489,0.003248427,0.000302628,0.001606213,0.001049706,0.005863598,0.013072735,0.17129762,0.000343725,0.003961206
418_R_Gpe,0.090169653,0.001511289,0.038229137,0.002244405,0.017421174,0.005418763,0.19398046,0.004288704,0.028660622,0.00138194,0.009801048,0.000376597,0.002896213,0.006073744,0.09828554,0.002946688,0.033313584,0.007294228,0.048168805,0.003201562,0.01797251,0.008271299,0.123811771,0.001004566,0.004810653,0.012728431,0.002535655,0.019325476,0.004154766,0.022701469,0.004566593,0.043063011,0.001557697,0.035079487,0.000629603,0.021879206,0.003055103,0.039405266,0.002755933,0.041749134,0.000437313,0.001957034
419_R_Gpi,0.116015602,0.0016392,0.023286864,0.006825017,0.041596871,0.005049295,0.139398525,0.003017767,0.015743289,0.000720734,0.002935229,0.000791746,0.005332995,0.017108363,0.160055071,0.001856803,0.010388483,0.016483484,0.020484717,0.004171191,0.03035766,0.007709387,0.074600966,0.001205774,0.007071687,0.047293068,0.003861978,0.038658076,0.008354999,0.05432853,0.00544826,0.03756414,0.001656575,0.024652048,0.000639523,0.009130027,0.00379889,0.038185138,0.002359746,0.019108241,0.000648205,0.004966996
420_R_Amyg,0.076430401,0.001203528,0.005397179,0.003022938,0.05902586,0.001885436,0.027856276,0.00283267,0.027128912,0.001449567,0.007323495,0.001290764,0.071028596,0.002696821,0.028518707,0.000500686,0.001928002,0.025136524,0.006205287,0.010308677,0.459197728,0.005040887,0.051330849,0.000848935,0.008114623,0.008084579,0.002533005,0.028871745,0.004470484,0.122216062,0.002800647,0.006469152,0.000763836,0.002558321,0.000456664,0.001136834,0.001228332,0.0129549,0.002195959,0.02791671,0.000468428,0.006362666
421_R_SNpc,0.038674431,0.000963721,0.016567964,0.002538774,0.0331074,0.004131991,0.158847204,0.003099754,0.016480436,0.00092928,0.003980882,0.000379496,0.00496204,0.012801981,0.252764471,0.002542934,0.024486434,0.012945694,0.021774716,0.001908897,0.023633167,0.003696637,0.060984397,0.000406503,0.003296242,0.067694227,0.001569768,0.027756458,0.002788707,0.049662181,0.004596763,0.042991495,0.001386913,0.018689354,0.000479741,0.008369099,0.003415145,0.055306344,0.001455107,0.013538194,0.000244879,0.00473387
422_R_SNpr,0.014785646,0.001162428,0.017655126,0.002062288,0.017478576,0.004862825,0.132926172,0.003187421,0.017172472,0.00081702,0.003648005,0.00030069,0.002471187,0.023818207,0.338636636,0.00356858,0.03664922,0.005856811,0.020132458,0.001490463,0.010827527,0.003785204,0.040888994,0.000378655,0.002067021,0.085446201,0.001450827,0.013750664,0.002309726,0.021963322,0.005002211,0.050095949,0.001829555,0.021943245,0.000600961,0.009824201,0.004067618,0.06839968,0.001486896,0.009265366,0.000235969,0.001757229
423_R_VTA,0.063804549,0.000998222,0.009071508,0.003383543,0.027950801,0.006561043,0.152219486,0.002400109,0.014437545,0.000549659,0.00280379,0.000672072,0.010834202,0.022584199,0.156420958,0.001986405,0.01319057,0.011747835,0.012758585,0.003947891,0.065715852,0.003099855,0.045226364,0.000291071,0.003789225,0.194985046,0.00153616,0.019834783,0.003138886,0.048824739,0.004317021,0.023190653,0.001987212,0.00885548,0.000488373,0.005098491,0.005346952,0.045446839,0.001637235,0.014152065,0.00023617,0.003664611
424_R_MB,0.043815283,0.001393327,0.003731535,0.009008998,0.012542544,0.032210798,0.265874677,0.002285997,0.01020156,0.000448011,0.001353366,0.001771431,0.003933848,0.027039114,0.06970154,0.001994227,0.006333909,0.007370049,0.008972605,0.024909905,0.055054779,0.005294278,0.016698875,0.000607651,0.001391507,0.184550557,0.002972133,0.00585453,0.008137193,0.013890651,0.004361803,0.014116,0.001586282,0.005817339,0.000730626,0.002588825,0.012451155,0.0720234,0.003057462,0.005520811,0.000500986,0.00100347
425_R_Septum,0.123118381,0.002692787,0.005462692,0.002605472,0.013827004,0.005089358,0.018452651,0.024663054,0.1120199,0.024767063,0.071470798,0.001836608,0.015141403,0.004260816,0.010165966,0.001070706,0.001425118,0.040366344,0.045169457,0.040329351,0.232916423,0.01611951,0.067632111,0.002700654,0.015646318,0.00125967,0.003546783,0.015534689,0.006023273,0.033432024,0.004033171,0.007420934,0.002629561,0.004277879,0.000964444,0.002353572,0.003107609,0.005716729,0.016534186,0.063594309,0.000721142,0.003564157
426_R_Nb,0.216506836,0.001926007,0.009416702,0.002644849,0.030478179,0.002778896,0.029988298,0.006144579,0.045920997,0.004517977,0.022757146,0.001019024,0.020664344,0.00263069,0.01696912,0.000599995,0.001601416,0.029852729,0.017240089,0.015406008,0.152915774,0.011665437,0.121001238,0.00247694,0.032132341,0.002642861,0.003482213,0.033674819,0.006208276,0.074976119,0.002984846,0.009614559,0.001242757,0.00448353,0.000514283,0.002063822,0.001689331,0.009069309,0.006936791,0.077870172,0.000670035,0.007654072
