Index-HCP_MMP_1.0,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
191,0.001795336,0.164569074,0.005489839,0.002098159,0.000729634,0.014299353,0.004906897,0.008332499,0.00556087,0.000285679,0.000426376,0.000489044,0.000158729,0.0274318,0.005972921,0.077722084,0.013285008,0.001137957,0.013056356,0.004101581,0.002108425,0.017804854,0.004352081,0.00855698,0.000529046,0.001809366,0.009787704,0.001288312,0.006673055,0.001493272,0.024117246,0.031976028,0.294295011,0.019659633,0.124709572,0.006409273,0.068340112,0.029169564,0.005335958,0.001621641,0.00054474,0.000147196
192,0.00288725,0.083047479,0.006042227,0.002490374,0.001036285,0.015071059,0.005452835,0.011742365,0.007126309,0.000487444,0.000610877,0.000537935,0.000301634,0.051608716,0.012393257,0.037819153,0.012052322,0.001570011,0.013627777,0.007389422,0.004394929,0.020452134,0.006189444,0.009132351,0.000894448,0.00243398,0.012261311,0.001935694,0.009165294,0.002221665,0.030244365,0.044675082,0.361165692,0.025900222,0.059329046,0.006409976,0.091492806,0.044871846,0.006029359,0.002519874,0.000870343,0.000239747
193,0.014198666,0.016169944,0.000480552,0.037307723,0.00171192,0.010080646,0.00120434,0.004744679,0.001053699,0.001007864,0.000324923,0.004646272,0.001073212,0.004265914,0.000697096,0.001931767,0.000296528,0.274059173,0.004570693,0.012061139,0.002889577,0.117783175,0.009479917,0.01013447,0.001305815,0.001685051,0.13258904,0.005825237,0.135862889,0.0112008,0.01618269,0.001171505,0.001299313,0.000559036,0.000868144,0.000228465,0.003498686,0.000509781,0.020965746,0.001207926,0.1383965,0.004024824
194,0.006118038,0.003956595,0.001291522,0.009396213,0.003333164,0.007017213,0.003515793,0.503099192,0.070794527,0.118021681,0.011503384,0.061351769,0.006633613,0.003976552,0.004983252,0.003124748,0.001281987,0.033012784,0.016418427,0.020175438,0.004160017,0.020201653,0.008402944,0.003293475,0.001308408,0.001236193,0.008742237,0.004879858,0.014994855,0.006073389,0.010547844,0.014526616,0.001264468,0.001470929,0.000885058,0.000896285,0.002332879,0.002098843,0.010493214,0.004661359,0.001272213,0.000652961
195,0.020469229,0.011413658,0.0051767,0.023925163,0.01825125,0.010669981,0.005789527,0.046319383,0.014166352,0.008441357,0.003194731,0.021088839,0.004525469,0.007734385,0.005892256,0.005810292,0.001660147,0.23063602,0.007585557,0.024207733,0.01574023,0.095681284,0.053240137,0.014729436,0.009453389,0.002602412,0.050952931,0.032020689,0.0882666,0.048748837,0.043060027,0.017120019,0.003178506,0.007746538,0.002358587,0.002527038,0.006939506,0.003664197,0.016509304,0.008790551,0.010402232,0.006118236
196,0.014197387,0.022279424,0.000724875,0.049825121,0.002451539,0.010587909,0.001428118,0.004919141,0.001210937,0.000850627,0.000385015,0.006743845,0.000865655,0.006896255,0.000988016,0.003249595,0.000519914,0.186391706,0.004995029,0.012416498,0.00309129,0.143204399,0.009692579,0.015226621,0.001561779,0.001815298,0.155956646,0.006302866,0.136213025,0.010359222,0.028082712,0.002093477,0.00439298,0.000913339,0.002213802,0.000378468,0.00546353,0.000746456,0.022990266,0.001334666,0.124955619,0.002650016
197,0.015787795,0.025307883,0.001779849,0.048064619,0.005716009,0.010943314,0.00225793,0.005698943,0.001815682,0.000931837,0.000453929,0.006493692,0.001308278,0.012563694,0.002173597,0.004612477,0.000666157,0.12097033,0.005327902,0.015435637,0.006533668,0.16376757,0.017302935,0.019756277,0.002942933,0.002135755,0.137918149,0.010602571,0.134102696,0.015893645,0.078624381,0.005339479,0.022695817,0.002929519,0.005263155,0.000986444,0.009600391,0.00146263,0.022948804,0.002825452,0.060018191,0.002090891
198,0.030637873,0.037976208,0.0007027,0.010473298,0.001619067,0.008957104,0.00110391,0.008516587,0.001152793,0.001376585,0.000346683,0.034801081,0.001074638,0.006285843,0.001468909,0.002371144,0.000333957,0.06381282,0.00443099,0.039204997,0.002561864,0.220279422,0.007370611,0.131982174,0.001507451,0.016950863,0.060442121,0.003519989,0.102787021,0.005781401,0.006424341,0.001578913,0.015276975,0.000752791,0.002096422,0.000317624,0.003942546,0.000624721,0.032721913,0.001397732,0.138349382,0.001207479
199,0.012151364,0.020978107,0.000727994,0.038418309,0.002287226,0.00926093,0.001293114,0.004726563,0.00099204,0.00085163,0.000298678,0.006209464,0.000646503,0.007202883,0.000975681,0.00363185,0.000485486,0.148565791,0.004403031,0.009699251,0.002487161,0.136190579,0.007561924,0.014970639,0.001271451,0.001493156,0.152078488,0.004702563,0.138371204,0.007236956,0.038496688,0.00186999,0.005575424,0.001108002,0.002044373,0.000398597,0.006300755,0.000743936,0.019872981,0.001186086,0.189765983,0.001579521
200,0.008462384,0.012032818,0.000456311,0.014914053,0.001485453,0.005830155,0.0008172,0.003084968,0.000829014,0.000514848,0.000243944,0.003453619,0.000815099,0.002246258,0.000393307,0.001168951,0.0002169,0.165974946,0.00274492,0.008464307,0.001961022,0.093427821,0.007813831,0.01024029,0.001012003,0.000940306,0.073087797,0.005355175,0.090361615,0.009046603,0.007635323,0.001034322,0.002697482,0.000411218,0.000765477,0.000167861,0.001980518,0.000347707,0.013457955,0.001034238,0.445532942,0.002810047
201,0.013356951,0.017176869,0.00071096,0.014486864,0.002435057,0.009403346,0.001229728,0.00472833,0.001249235,0.000766102,0.000362269,0.007036351,0.001246406,0.003127999,0.000746847,0.001608732,0.000244843,0.189834552,0.00421132,0.01653453,0.003057567,0.143614336,0.011988155,0.021275016,0.001925678,0.001572649,0.067100705,0.007879714,0.104512325,0.013062539,0.005365149,0.001937757,0.004083452,0.000749128,0.000952509,0.000226404,0.002926418,0.000520106,0.021686846,0.001639569,0.297792184,0.003694149
